Feature,XGBoost Importance,Permutation Importance,XGBoost Rank,Permutation Rank,Rank Difference,XGBoost Importance (Normalized),Permutation Importance (Normalized),Average Importance
Multi Generation,0.0012929384,1.1936476863128043e-05,84.0,103.0,19.0,0.0012929383,9.301914035344001e-06,0.0006511200820761739
Improved-Maisonette,0.0011754666,1.439918150876185e-05,86.0,101.0,15.0,0.0011754665,1.1221062136647722e-05,0.0005933437606905687
MULTI-GENERATION_price_ratio,0.0011188597,8.833491205528787e-06,88.0,104.0,16.0,0.0011188596,6.883804724626525e-06,0.0005628717150730455
Apartment,0.00051423756,0.000749951848861552,103.0,72.0,31.0,0.0005142375,0.0005844260168849641,0.0005493317590389011
Model A2,0.00066408043,0.0005208077767925534,100.0,76.0,24.0,0.0006640804,0.00040585754274175494,0.0005349689597392873
MULTI-GENERATION,0.00095204846,5.7550916783410956e-05,94.0,92.0,2.0,0.00095204834,4.484855009673573e-05,0.0004984484468515144
Maisonette_price_ratio,0.0008302502,0.0002113251999238175,96.0,87.0,9.0,0.0008302501,0.00016468249934496173,0.0004974662965291823
Adjoined flat,0.0007846542,0.00026142690543180526,97.0,84.0,13.0,0.0007846541,0.0002037259929154166,0.0004941900524912451
Premium Apartment Loft,0.0008973523,3.795439700355896e-05,95.0,95.0,0.0,0.0008973522,2.9577281658459507e-05,0.000463464728955606
Adjoined flat_price_ratio,0.0006729771,3.0906383264417414e-05,98.0,98.0,0.0,0.00067297707,2.4084872242081888e-05,0.00034853097035177983
5 ROOM_price_ratio,0.00045460093,0.00018411324818696785,106.0,88.0,18.0,0.00045460087,0.00014347664114303227,0.0002990387562254038
Apartment_price_ratio,0.00048782222,0.00013824367825077122,104.0,90.0,14.0,0.00048782217,0.00010773118615851287,0.0002977766761684442
3Gen,0.00055480836,1.8185431310535626e-05,101.0,100.0,1.0,0.0005548083,1.4171628754946217e-05,0.00028448996390606593
3Gen_price_ratio,0.00053211435,3.88291986632705e-06,102.0,106.0,4.0,0.0005321143,3.025900122528993e-06,0.00026757009817138597
Model A2_price_ratio,0.0004267107,5.471256462463714e-05,107.0,93.0,14.0,0.00042671064,4.263666562817e-05,0.00023467365355271352
Premium Maisonette,0.00041179403,4.850383646488598e-05,108.0,94.0,14.0,0.00041179397,3.7798298639898536e-05,0.00022479613329083722
Premium Maisonette_price_ratio,0.00040550416,1.8471969290034805e-05,109.0,99.0,10.0,0.0004055041,1.4394923424196222e-05,0.00020994951486766187
